Pop	Food	Muscle_Width	Body_Width	Body_Length	Tail_length	Body_depth	Muscle_depth	Tail_depth
5	R	1.6	7.6	9.85	21.23	6.5	2	6.7
5	R	1.4	6	8.85	18	5	1.9	5.3
5	R	1.4	7.3	11.09	21.99	6.3	2.3	6.6
5	R	1.4	7	10.59	21.16	6.2	1.8	5.5
5	R	1.3	6.5	9.49	18.19	5.1	2	5.4
5	R	1.3	7.6	10.75	21.68	6.6	2.5	6.2
5	R	1.8	7.5	9.66	23.37	6.2	2.1	5.9
5	R	1.5	7.9	10.68	20.31	6.8	2.1	6.6
5	R	1.7	7.5	11	21.95	6.5	2.2	7.3
5	R	1.5	6.8	9.43	21.46	6.5	2	5.7
5	R	1.5	6.3	10.12	20.85	5.3	2.1	5.2
5	R	1.5	7.5	10.96	24.76	6.4	2.1	6.3
6	U	2.3	9.6	14.05	30.92	8.3	3.2	8.3
6	U	2	8	12.71	28.71	6.9	2.7	7.6
6	U	2	8.7	12.61	27.32	7.6	2.5	7.7
6	U	2	7.1	11.24	28.67	6	2.6	6.8
6	U	2.2	9	13.05	27.82	8	2.8	8.8
6	U	1.7	8	12.51	27.84	6.9	2.4	7.2
6	U	1.7	8	11.55	24.01	7	2.5	7.2
6	U	1.8	8.7	14.45	27.63	7.9	2.2	7.3
6	U	2.1	9	12.95	24.35	8	3.2	7.7
6	U	2	9	12.16	28.59	7.6	2.6	7.7
6	U	2	8.5	12.46	31.31	7.1	2.8	7.8
6	U	2.2	9	13.48	30.65	7.6	2.9	8
6	U	1.9	8.6	11.41	27.24	7.6	2.7	8
6	U	1.8	8.3	12.85	26.49	7.3	2.5	7.4
6	U	2	8.7	13.52	28.79	8	2.5	7.4
6	U	1.9	9.8	13.81	30.82	8	2.9	8.3
6	U	2.1	9.1	12.89	27.94	7.5	2.9	7.6
6	U	2	8.5	11.91	26.52	6.5	2.7	7.5
6	U	2	9.1	13.02	29.21	8	2.9	8.4
6	R	1.5	7.1	9.12	18.65	6.1	1.9	5.5
6	R	1.6	6.7	10.32	23.01	5.5	2.1	5.4
6	R	1.5	7.5	10.9	24.15	6.7	2.1	6
6	R	1.5	7.5	10.73	23.13	7.1	2.3	6.8
6	R	1.3	6.6	10.05	21.04	5.6	1.8	5.1
6	R	1.5	8.3	12.28	25.92	7	2.2	7.1
