temp	mass	metabolism	activity	longevity
20	0.0050525	0.006057211	0.006807554	22.5
20	0.0058425	0.007036505	0.002547561	19.75
20	0.005335	0.007212951	0.009039808	18.25
20	0.004715	0.006252194	0.017066087	15.75
20	0.005225	0.007354417	0.011031203	18
20	0.005005	0.005854403	0.001152161	14.75
20	0.0052675	0.006441561	0.001505106	11.25
20	0.004885	0.006115992	0.009060056	13.5
20	0.0048175	0.006155031	0.019767132	11
20	0.004412	0.006310269	0.024452686	8.4
20	0.00498	0.006252268	0.006760495	18
28	0.00535	0.007658045	0.004150501	10.75
28	0.006195	0.007958273	0.004980324	10.75
28	0.0058225	0.009184679	0.005903469	11.25
28	0.0057025	0.008453781	0.008931049	7.25
28	0.005495	0.008825394	0.003184318	9.75
28	0.005288	0.009066357	0.004493575	10.4
28	0.0055725	0.009307971	0.00543757	8.5
28	0.00558	0.009365487	0.005603651	7.75
28	0.004992	0.008676003	0.003264001	7
28	0.00551	0.009180365	0.002378483	11.75
28	0.0061625	0.00850938	0.001184356	10.25
28	0.005516	0.007640215	0.006599033	9
28	0.00652	0.009316118	0.002387656	13
28	0.005282	0.007970455	0.006252959	9.6
28	0.0066675	0.011215746	0.001304379	13
28	0.0056775	0.008915913	0.001361437	14.25
28	0.005728	0.008805361	0.001998704	12.4
28	0.005265	0.00892064	0.004343162	6.25
28	0.004706	0.008396732	0.023369678	6.4
28	0.00496	0.0072657	0.001475587	11.25
28	0.005318	0.008207782	0.020353863	9.2
28	0.004775	0.007287798	0.001733024	7.75
28	0.005188	0.007210941	0.022305073	14.6
28	0.005356	0.01008342	0.014203327	5.4
28	0.00541	0.010598809	0.004626232	9.25
28	0.0061075	0.007444498	0.013498233	8.75
28	0.005894	0.00835657	0.006698843	7.2
28	0.005465	0.008025796	0.009310911	9.75
28	0.005518	0.009659934	0.005910952	8.2
28	0.004996	0.008302014	0.00510276	8.2
28	0.005965	0.009946298	0.002044348	14.75
28	0.00504	0.007111538	0.007983503	8.5
28	0.005045	0.007714288	0.006796168	7.75
28	0.0057	0.009856656	0.001327937	11.75
28	0.00506	0.009046907	0.002500073	10
28	0.00509	0.008142992	0.001022382	7.2
28	0.00446	0.007560988	0.027714538	11.6
28	0.0049875	0.007489573	0.002811105	7.25
28	0.0055975	0.00985376	0.003586133	11
28	0.0053125	0.008820076	0.002121371	10.75
28	0.0055025	0.009625053	0.003421165	13.5
28	0.004552	0.006564671	0.006452117	6.8
28	0.005925	0.009647211	0.001823646	13.5
28	0.00728	0.008535605	0.002889788	11.75
28	0.0066375	0.010755595	0.0028213	12.5
28	0.0054925	0.011472313	0.001254197	9.75
28	0.0049325	0.007262291	0.003947352	7.75
28	0.0049975	0.008530162	0.002562737	10.75
28	0.0052375	0.008648469	0.001820543	8.25
28	0.0038875	0.006117744	0.002790564	6.5
28	0.0048075	0.008313189	0.004442426	7.5
28	0.004875	0.006654571	0.002808482	11.5
28	0.005022	0.007938771	0.014154465	8.73125
28	0.006008	0.00882002	0.000938028	9.6
28	0.0051425	0.0076339	0.002610658	7.25
28	0.00522	0.008798263	0.001150469	7.25
28	0.00498	0.007638107	0.005868431	11.5
28	0.0059075	0.009131409	0.003650665	11.5
28	0.0047625	0.007303146	0.001771315	12.25
28	0.0054775	0.008438123	0.00315683	8.75
28	0.004898	0.007310308	0.009997442	6.6
28	0.005016	0.007684747	0.002266837	6.4
28	0.005035	0.008232184	0.004991202	11.5
28	0.0052375	0.008426721	0.011511858	14.25
28	0.0064425	0.009881174	0.005261313	11
28	0.005656	0.008236803	0.001663729	8.4
28	0.0061575	0.009176349	0.007274643	16.25
28	0.006414	0.010080603	0.003163956	14
28	0.005825	0.007687884	0.010476095	8.75
28	0.006168	0.008624895	0.003150691	13
28	0.006185	0.010603295	0.025401138	8.5
28	0.005606	0.009101881	0.002254978	6.8
28	0.00647	0.008552226	0.007882993	12.25
28	0.0063325	0.0086305	0.005380059	11.75
28	0.006046	0.009046028	0.007484795	11.6
28	0.0056975	0.008382156	0.001745001	11.75
28	0.0055625	0.008791464	0.002538728	8
28	0.0058025	0.008733646	0.002410164	9.25
28	0.004748	0.007864799	0.002240976	5.2
